Athlete,Profile Link 1,Profile Link 2,event,time,,,,position,,,,venue,meeting,date,venue-link,category
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,3000SC,11:03.15,,,,1,B,,,Kilmarnock,Scottish Athletics League Division 2,20 Apr 13,http://powerof10.info/results/results.aspx?meetingid=81989&event=3000SC&venue=Kilmarnock&date=20-Apr-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,1M,4:51,,,,5,,,,Edinburgh,Self Transcendence 1,29 May 13,http://powerof10.info/results/results.aspx?meetingid=86485&event=1M&venue=Edinburgh&date=29-May-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,1.4M,11:18,,,,8,,,,East Lomond,Tour of Fife Up Hell Time Trial 1.4,2 Aug 13,http://powerof10.info/results/results.aspx?meetingid=87753&event=1.4M&venue=East+Lomond&date=2-Aug-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,3.1ML,17:57,,,,6,L5,,,Livingstone,Scottish Relays Championships,31 Mar 13,http://powerof10.info/results/results.aspx?meetingid=72798&event=3.1ML&venue=Livingstone&date=31-Mar-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,5K,16:48,,,,46,,,,Edinburgh,Self Transcendence 5K (Inc Scottish Champs),1 May 13,http://powerof10.info/results/results.aspx?meetingid=83157&event=5K&venue=Edinburgh&date=1-May-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,parkrun,17:28,,,,4,,,,Edinburgh Silverknowes,Edinburgh parkrun # 193,20 Jul 13,http://powerof10.info/results/results.aspx?meetingid=89541&event=parkrun&venue=Edinburgh+Silverknowes&date=20-Jul-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,3.8M,23:47,,,,4,,,,Falkland,Tour of Fife Skull Mountain Race 3.8,4 Aug 13,http://powerof10.info/results/results.aspx?meetingid=87755&event=3.8M&venue=Falkland&date=4-Aug-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4.2MMT,25:03,,,,6,,,,St.Andrews,Tour of Fife Chariots of Fire Beach 4.2,3 Aug 13,http://powerof10.info/results/results.aspx?meetingid=87754&event=4.2MMT&venue=St.Andrews&date=3-Aug-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,33:21,,,,41,,,,Lornshill Academy,Scottish East District League,23 Nov 13,http://powerof10.info/results/results.aspx?meetingid=92989&event=ZXC&venue=Lornshill+Academy&date=23-Nov-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,35:53,,,,73,,,,Broxburn,Scottish East District League,12 Jan 13,http://powerof10.info/results/results.aspx?meetingid=72489&event=ZXC&venue=Broxburn&date=12-Jan-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,36:38,,,,63,,,,Dundee,Scottish East District Championships,7 Dec 13,http://powerof10.info/results/results.aspx?meetingid=93660&event=ZXC&venue=Dundee&date=7-Dec-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,46:26,,,,135,,,,Falkirk,Scottish National Championships,23 Feb 13,http://powerof10.info/results/results.aspx?meetingid=72534&event=ZXC&venue=Falkirk&date=23-Feb-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXCL,13:58,,,,39,L1,,,Cumbernauld,Scottish National Relay Championships,26 Oct 13,http://powerof10.info/results/results.aspx?meetingid=93062&event=ZXCL&venue=Cumbernauld&date=26-Oct-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXCL,14:07,,,,18,L1,,,Livingston,Scottish East District Relay Championships,13 Oct 13,http://powerof10.info/results/results.aspx?meetingid=93039&event=ZXCL&venue=Livingston&date=13-Oct-13,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,1.4M,11:49,,,,15,,,,Glenrothes,ToF Up Hell Time Trial 1.4,27 Jul 12,http://powerof10.info/results/results.aspx?meetingid=68006&event=1.4M&venue=Glenrothes&date=27-Jul-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,5K,17:29,,,,68,,,,Edinburgh,Self Transcendence 5K (Inc Scottish Champs),16 May 12,http://powerof10.info/results/results.aspx?meetingid=64757&event=5K&venue=Edinburgh&date=16-May-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,6KMT,21:43,,,,4,,,,Murieston Valley,Murieston 6K,8 Sep 12,http://powerof10.info/results/results.aspx?meetingid=71854&event=6KMT&venue=Murieston+Valley&date=8-Sep-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4MMT,26:56,,,,11,,,,Falkland,ToF Black Hill Race,29 Jul 12,http://powerof10.info/results/results.aspx?meetingid=68008&event=4MMT&venue=Falkland&date=29-Jul-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4.25MMT,25:50,,,,12,,,,St Andrews,ToF Chariots of Fire Beach 4.25,28 Jul 12,http://powerof10.info/results/results.aspx?meetingid=68007&event=4.25MMT&venue=St+Andrews&date=28-Jul-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,4.5MMT,30:35,,,,11,,,,Ceres,ToF Tarvit 4.5,26 Jul 12,http://powerof10.info/results/results.aspx?meetingid=68005&event=4.5MMT&venue=Ceres&date=26-Jul-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,5M,28:54,,,,15,,,,Giffordtown,ToF Teddy Bear 5,25 Jul 12,http://powerof10.info/results/results.aspx?meetingid=68004&event=5M&venue=Giffordtown&date=25-Jul-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,14:41,,,,76,,,,Glasgow,Scottish National 4K Championships,11 Nov 12,http://powerof10.info/results/results.aspx?meetingid=72531&event=ZXC&venue=Glasgow&date=11-Nov-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,32:09,,,,45,,,,Broxburn,East District League,14 Jan 12,http://powerof10.info/results/results.aspx?meetingid=55600&event=ZXC&venue=Broxburn&date=14-Jan-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,36:17,,,,32,,,,Livingston,Scottish East District League,24 Nov 12,http://powerof10.info/results/results.aspx?meetingid=72488&event=ZXC&venue=Livingston&date=24-Nov-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXC,38:24,,,,41,,,,Cupar,Scottish East District Championships,8 Dec 12,http://powerof10.info/results/results.aspx?meetingid=72719&event=ZXC&venue=Cupar&date=8-Dec-12,SEN
Christopher O'Brien,http://powerof10.info/athletes/profile.aspx?athleteid=4392,http://www.runbritainrankings.com/runners/profile.aspx?athleteid=4392,ZXCL,14:08,,,,7,L4,,,Dundee,Scottish East District Relay Championships,13 Oct 12,http://powerof10.info/results/results.aspx?meetingid=72543&event=ZXCL&venue=Dundee&date=13-Oct-12,SEN
